year,region,tas_anomaly,scenario
1991,pacific_south,0.40727806,historical
1992,pacific_south,-0.059885025,historical
1993,pacific_south,0.36209106,historical
1994,pacific_south,0.2293911,historical
1995,pacific_south,0.15505028,historical
1996,pacific_south,0.16729164,historical
1997,pacific_south,-0.08195305,historical
1998,pacific_south,0.069509506,historical
1999,pacific_south,0.25720406,historical
2000,pacific_south,0.4452343,historical
2001,pacific_south,0.07964897,historical
2002,pacific_south,0.14894104,historical
2003,pacific_south,0.40036774,historical
2004,pacific_south,0.4001522,historical
2005,pacific_south,0.4858036,historical
2006,pacific_south,0.30745125,historical
2007,pacific_south,0.13325691,historical
2008,pacific_south,0.3640442,historical
2009,pacific_south,0.43054008,historical
2010,pacific_south,0.5789566,historical
2011,pacific_south,0.7980671,historical
2012,pacific_south,0.50548744,historical
2013,pacific_south,0.11929512,historical
2014,pacific_south,0.4814167,historical
2015,pacific_south,0.6944485,ssp585
2016,pacific_south,0.63671875,ssp585
2017,pacific_south,0.5051403,ssp585
2018,pacific_south,0.8957081,ssp585
2019,pacific_south,0.9980469,ssp585
2020,pacific_south,0.9929104,ssp585
2021,pacific_south,0.76934814,ssp585
2022,pacific_south,0.3704548,ssp585
2023,pacific_south,0.8677349,ssp585
2024,pacific_south,0.6216793,ssp585
2025,pacific_south,0.97624207,ssp585
2026,pacific_south,0.83914375,ssp585
2027,pacific_south,1.1723003,ssp585
2028,pacific_south,0.98552895,ssp585
2029,pacific_south,0.74640465,ssp585
2030,pacific_south,1.1607151,ssp585
2031,pacific_south,1.2081833,ssp585
2032,pacific_south,0.9372635,ssp585
2033,pacific_south,1.3540592,ssp585
2034,pacific_south,1.1863785,ssp585
2035,pacific_south,1.0737476,ssp585
2036,pacific_south,1.2762928,ssp585
2037,pacific_south,1.3402157,ssp585
2038,pacific_south,1.0309238,ssp585
2039,pacific_south,1.1542377,ssp585
2040,pacific_south,1.4052639,ssp585
2041,pacific_south,1.1785374,ssp585
2042,pacific_south,1.1396198,ssp585
2043,pacific_south,1.7070084,ssp585
2044,pacific_south,1.5406475,ssp585
2045,pacific_south,1.7044601,ssp585
2046,pacific_south,1.4287949,ssp585
2047,pacific_south,1.5439968,ssp585
2048,pacific_south,1.4515858,ssp585
2049,pacific_south,1.6907177,ssp585
2050,pacific_south,1.7287903,ssp585
2051,pacific_south,1.6812763,ssp585
2052,pacific_south,1.9397602,ssp585
2053,pacific_south,1.9905987,ssp585
2054,pacific_south,1.7751179,ssp585
2055,pacific_south,1.9176788,ssp585
2056,pacific_south,1.9112759,ssp585
2057,pacific_south,2.0730228,ssp585
2058,pacific_south,2.3009567,ssp585
2059,pacific_south,2.1069183,ssp585
2060,pacific_south,2.1616364,ssp585
2061,pacific_south,2.4084244,ssp585
2062,pacific_south,2.3344135,ssp585
2063,pacific_south,2.4722195,ssp585
2064,pacific_south,2.4138584,ssp585
2065,pacific_south,2.0961246,ssp585
2066,pacific_south,2.4561062,ssp585
2067,pacific_south,2.4577103,ssp585
2068,pacific_south,2.4190845,ssp585
2069,pacific_south,2.654932,ssp585
2070,pacific_south,2.7122116,ssp585
2071,pacific_south,2.9093018,ssp585
2072,pacific_south,2.4313507,ssp585
2073,pacific_south,2.8338451,ssp585
2074,pacific_south,2.8445568,ssp585
2075,pacific_south,3.0229893,ssp585
2076,pacific_south,2.9135895,ssp585
2077,pacific_south,2.7627087,ssp585
2078,pacific_south,3.0444336,ssp585
2079,pacific_south,3.184311,ssp585
2080,pacific_south,3.265396,ssp585
2081,pacific_south,3.2637615,ssp585
2082,pacific_south,3.3549728,ssp585
2083,pacific_south,3.2625504,ssp585
2084,pacific_south,3.7012196,ssp585
2085,pacific_south,3.4606266,ssp585
2086,pacific_south,3.4885426,ssp585
2087,pacific_south,3.512207,ssp585
2088,pacific_south,3.4056225,ssp585
2089,pacific_south,3.5615444,ssp585
2090,pacific_south,3.6537762,ssp585
2091,pacific_south,3.6842823,ssp585
2092,pacific_south,3.3063679,ssp585
2093,pacific_south,3.6275196,ssp585
2094,pacific_south,3.9216175,ssp585
2095,pacific_south,4.019758,ssp585
2096,pacific_south,3.9625492,ssp585
2097,pacific_south,3.9128647,ssp585
2098,pacific_south,4.3020554,ssp585
2099,pacific_south,4.2908936,ssp585
2100,pacific_south,4.2836475,ssp585
1980,southern,0.0,historical
1981,southern,0.48343265,historical
1982,southern,0.26232696,historical
1983,southern,0.5070751,historical
1984,southern,0.33445287,historical
1985,southern,0.5311153,historical
1986,southern,0.56389606,historical
1987,southern,0.41394943,historical
1988,southern,6.5624714e-05,historical
1989,southern,0.54687446,historical
1990,southern,0.2105864,historical
1991,southern,0.46738976,historical
1992,southern,0.19811024,historical
1993,southern,0.5355194,historical
1994,southern,0.19855276,historical
